facility_num,county,is_public,city,facility_name,enrollment,n,pct,reported,vac_info_type
6962401.0,Los Angeles,PRIVATE,Los Angeles,HOLY TRINITY ELEMENTARY,69.0,69.0,100.0,Y,7thGradeData
6962583.0,Los Angeles,PRIVATE,Los Angeles,MARY STAR OF THE SEA ELEMENTARY,39.0,38.0,97.4359,Y,7thGradeData
6962583.0,Los Angeles,PRIVATE,Los Angeles,MARY STAR OF THE SEA ELEMENTARY,40.0,38.0,95.0,Y,7thGradeData
6935746.0,Los Angeles,PRIVATE,Los Angeles,MARY STAR OF THE SEA HIGH SCHOOL,112.0,112.0,100.0,Y,7thGradeData
6935746.0,Los Angeles,PRIVATE,Los Angeles,MARY STAR OF THE SEA HIGH SCHOOL,134.0,133.0,99.25373,Y,7thGradeData
6935746.0,Los Angeles,PRIVATE,Los Angeles,MARY STAR OF THE SEA HIGH SCHOOL,127.0,127.0,100.0,Y,7thGradeData
6935746.0,Los Angeles,PRIVATE,Los Angeles,MARY STAR OF THE SEA HIGH SCHOOL,127.0,126.0,99.2126,Y,7thGradeData
6138705.0,Los Angeles,PRIVATE,Los Angeles,RENAISSANCE SCHOOL FOR ARTS AND SCIENCES,11.0,11.0,100.0,Y,7thGradeData
6138705.0,Los Angeles,PRIVATE,Los Angeles,RENAISSANCE SCHOOL FOR ARTS AND SCIENCES,12.0,12.0,100.0,Y,7thGradeData
6935720.0,Los Angeles,PRIVATE,Los Angeles,ROLLING HILLS PREPARATORY,19.0,18.0,94.73684,Y,7thGradeData
6935720.0,Los Angeles,PRIVATE,Los Angeles,ROLLING HILLS PREPARATORY,25.0,25.0,100.0,Y,7thGradeData
6935720.0,Los Angeles,PRIVATE,Los Angeles,ROLLING HILLS PREPARATORY,32.0,32.0,100.0,Y,7thGradeData
6935720.0,Los Angeles,PRIVATE,Los Angeles,ROLLING HILLS PREPARATORY,39.0,39.0,100.0,Y,7thGradeData
6935720.0,Los Angeles,PRIVATE,Los Angeles,ROLLING HILLS PREPARATORY,45.0,44.0,97.77778,Y,7thGradeData
6935720.0,Los Angeles,PRIVATE,Los Angeles,ROLLING HILLS PREPARATORY,46.0,46.0,100.0,Y,7thGradeData
7080377.0,Los Angeles,PRIVATE,Santa Clarita,ADVANTAGE PREPARATORY SCHOOLS,10.0,10.0,100.0,Y,7thGradeData
7080377.0,Los Angeles,PRIVATE,Santa Clarita,ADVANTAGE PREPARATORY SCHOOLS,20.0,17.0,85.0,Y,7thGradeData
7080377.0,Los Angeles,PRIVATE,Santa Clarita,ADVANTAGE PREPARATORY SCHOOLS,13.0,13.0,100.0,Y,7thGradeData
7080377.0,Los Angeles,PRIVATE,Santa Clarita,ADVANTAGE PREPARATORY SCHOOLS,15.0,14.0,93.33333,Y,7thGradeData
7080377.0,Los Angeles,PRIVATE,Santa Clarita,ADVANTAGE PREPARATORY SCHOOLS,17.0,17.0,100.0,Y,7thGradeData
7080153.0,Los Angeles,PRIVATE,Santa Clarita,CORNERSTONE CHRISTIAN,14.0,6.0,42.85714,Y,7thGradeData
